created_at,entry_id,field3
2024-02-02 00:00:00 UTC,1,4124.50
2024-02-05 01:00:00 UTC,2,1503.75
2024-02-11 02:00:00 UTC,3,3524.20
2024-02-12 03:00:00 UTC,4,3285.10
2024-02-13 04:00:00 UTC,5,2398.60
2024-02-16 05:00:00 UTC,6,3277.90
2024-02-18 06:00:00 UTC,7,1266.30
2024-02-20 07:00:00 UTC,8,4674.45
2024-02-21 08:00:00 UTC,9,412.80
2024-02-22 09:00:00 UTC,10,1961.20
2024-02-25 10:00:00 UTC,11,4717.90
2024-02-27 11:00:00 UTC,12,1998.10
2024-02-28 12:00:00 UTC,13,3867.60
2024-02-29 13:00:00 UTC,14,1156.00
2024-02-29 14:00:00 UTC,15,1418.20
2024-03-01 15:00:00 UTC,16,3577.10
2024-03-02 16:00:00 UTC,17,486.50
2024-03-03 17:00:00 UTC,18,4153.30
2024-03-03 18:00:00 UTC,19,4426.80
2024-03-04 19:00:00 UTC,20,1897.10
2024-03-07 02:00:00 UTC,3,3157.10
2024-03-08 03:00:00 UTC,4,3771.80
2024-03-09 04:00:00 UTC,5,1409.20
2024-03-11 05:00:00 UTC,6,4285.30
2024-03-14 06:00:00 UTC,7,4837.90
2024-03-17 07:00:00 UTC,8,3141.20
2024-03-18 08:00:00 UTC,9,2293.50
2024-03-19 09:00:00 UTC,10,3983.60
2024-03-20 10:00:00 UTC,11,1469.10
2024-03-22 11:00:00 UTC,12,4417.30
2024-03-23 12:00:00 UTC,13,401.20
2024-03-25 13:00:00 UTC,14,3686.40
2024-03-25 14:00:00 UTC,15,2531.60
2024-03-27 15:00:00 UTC,16,429.20
2024-03-29 16:00:00 UTC,17,2692.80
2024-03-29 17:00:00 UTC,18,4554.60
2024-03-30 18:00:00 UTC,19,4537.40
2024-03-30 19:00:00 UTC,20,1615.70
2024-04-02 00:00:00 UTC,1,1067.20
2024-04-03 01:00:00 UTC,2,1603.50
2024-04-03 02:00:00 UTC,3,3994.90
2024-04-05 03:00:00 UTC,4,2385.10
2024-04-06 04:00:00 UTC,5,2243.40
2024-04-08 05:00:00 UTC,6,1800.70
2024-04-10 06:00:00 UTC,7,1841.20
2024-04-10 07:00:00 UTC,8,4302.30
2024-04-11 08:00:00 UTC,9,1235.50
2024-04-13 09:00:00 UTC,10,4008.80
2024-04-14 10:00:00 UTC,11,2350.20
2024-04-16 11:00:00 UTC,12,4245.40
2024-04-18 12:00:00 UTC,13,2762.80
2024-04-19 13:00:00 UTC,14,1115.60
2024-04-20 14:00:00 UTC,15,1980.90
2024-04-20 15:00:00 UTC,16,4015.20
2024-04-22 16:00:00 UTC,17,4620.50
2024-04-23 17:00:00 UTC,18,4575.80
2024-04-25 18:00:00 UTC,19,1340.90
2024-04-25 19:00:00 UTC,20,4422.30
